CID,Name,InChI,SMILES,MolecularWeight,Dgf_prime,Uncertainty,pH,Error
980,4-Nitrophenol,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",,139.11,,,9,"无法找到化合物: InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H"
5143,Saccharin,"InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)",,183.19,,,9,"无法找到化合物: InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)"
6643,4-tert-Pentylphenol,"InChI=1S/C11H16O/c1-4-11(2,3)9-5-7-10(12)8-6-9/h5-8,12H,4H2,1-3H3",,164.24,-50.25576285249104,5.350524075213112,9,
6758,Rotenone,"InChI=1S/C23H22O6/c1-11(2)16-8-14-15(28-16)6-5-12-22(24)21-13-7-18(25-3)19(26-4)9-17(13)27-10-20(21)29-23(12)14/h5-7,9,16,20-21H,1,8,10H2,2-4H3/t16-,20-,21+/m1/s1",,394.4,-1100.6260347074858,19.97780517921251,9,
135398658,Folic Acid,"InChI=1S/C19H19N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,8,12,21H,5-7H2,(H,24,29)(H,27,28)(H,31,32)(H3,20,22,25,26,30)/t12-/m0/s1",,441.4,,,9,"无法找到化合物: InChI=1S/C19H19N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,8,12,21H,5-7H2,(H,24,29)(H,27,28)(H,31,32)(H3,20,22,25,26,30)/t12-/m0/s1"
5430,Thiabendazole,"InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)",,201.25,356.65476312337535,3.975470782688459,9,
243,Benzoic Acid,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",,122.12,,,9,"无法找到化合物: InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)"
403,4-Aminophenol,"InChI=1S/C6H7NO/c7-5-1-3-6(8)4-2-5/h1-4,8H,7H2",,109.13,-73.70031094425704,4.525548567129215,9,
785,Hydroquinone,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H",,110.11,-290.7486822708706,4.497863009798557,9,
931,Naphthalene,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,,128.17,206.580288829015,5.757262471724643,9,
991,Parathion,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",,291.26,,0.0,9,
992,Pentachlorophenol,InChI=1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H,,266.3,,,9,无法找到化合物: InChI=1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H
996,Phenol,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",,94.11,-84.5733543195775,3.118717023829488,9,
1486,"(2,4-Dichlorophenoxy)Acetic Acid","InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)",,221.03,,,9,"无法找到化合物: InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)"
2345,Benzyl Benzoate,"InChI=1S/C14H12O2/c15-14(13-9-5-2-6-10-13)16-11-12-7-3-1-4-8-12/h1-10H,11H2",,212.24,-32.887451925380226,5.415568428509043,9,
2912,Cypermethrin,"InChI=1S/C22H19Cl2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3",,416.3,-129.58991316229933,10.337646685401149,9,
3314,Eugenol,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",,164.20,-180.7063296522847,5.001561473736023,9,
4685,"1,4-Dichlorobenzene",InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,,147.00,78.3227507408068,2.9318707535840423,9,
5794,Piperonyl Butoxide,"InChI=1S/C19H30O5/c1-3-5-7-20-8-9-21-10-11-22-14-17-13-19-18(23-15-24-19)12-16(17)6-4-2/h12-13H,3-11,14-15H2,1-2H3",,338.4,-559.741548499527,7.5041558149759995,9,
6294,"P,P'-ddd","InChI=1S/C14H10Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8,13-14H",,320.0,213.0532807945101,4.6817090071557566,9,
