pH,pMg,ATP平衡浓度 (M),K_eq,ΔG'° (kJ/mol)
5.0,2.0,7.806930625719165e-05,139.45558377045157,-12.240460540466586
5.0,3.0,4.935825116248664e-05,370.94902929386615,-14.665670090918923
5.0,4.0,4.4545495025302435e-05,460.0578504100141,-15.199358744587869
5.0,5.0,4.4021638056177e-05,471.589066054897,-15.260727160957401
5.0,6.0,4.396876577857035e-05,472.7762074853603,-15.26695965219102
5.0,7.0,4.3963473613272026e-05,472.89527197893403,-15.267583876927176
5.0,8.0,4.396294434729517e-05,472.9071819422232,-15.267646309176314
5.0,9.0,4.396289142020212e-05,472.90837297372036,-15.2676525524991
5.0,10.0,4.3962886127488264e-05,472.908492077213,-15.267653176832312
5.5,2.0,8.879128145271504e-05,105.31617687708659,-11.544421165321921
5.5,3.0,5.048649600058086e-05,353.71365992730824,-14.547728875622397
5.5,4.0,4.1050559049487525e-05,545.6991391620943,-15.622555265655308
5.5,5.0,3.990732834354674e-05,578.7899759777014,-15.768496124644003
5.5,6.0,3.979033904127102e-05,582.3403231775695,-15.783655811000415
5.5,7.0,3.977861248961271e-05,582.6979483990112,-15.785177713938936
5.5,8.0,3.9777439557230196e-05,582.7337370171595,-15.785329963869458
5.5,9.0,3.977732226121929e-05,582.7373161401151,-15.785345189459122
5.5,10.0,3.97773105315902e-05,582.7376740550278,-15.78534671202408
6.0,2.0,8.182806401973216e-05,125.90514462043988,-11.987068117960234
6.0,3.0,4.771163905919421e-05,398.3715175340134,-14.84247021158626
6.0,4.0,3.3738509964816314e-05,820.2335810762294,-16.632783200702818
6.0,5.0,3.1689084609000254e-05,933.7062521882953,-16.953988427963736
6.0,6.0,3.1472853981363e-05,947.0029714509438,-16.98904174136095
6.0,7.0,3.145110865449582e-05,948.3555251230162,-16.992579777050253
6.0,8.0,3.144893288879768e-05,948.4910132841968,-16.99293391147637
6.0,9.0,3.1448715299888224e-05,948.5045644322369,-16.992969328231254
6.0,10.0,3.1448693540873495e-05,948.5059195703896,-16.992972869939933
6.5,2.0,5.9582194207190666e-05,249.120060883541,-13.678723639339239
6.5,3.0,3.859462304164234e-05,620.5252904020986,-15.941097687195736
6.5,4.0,2.495376583418771e-05,1526.786207101777,-18.173036378838447
6.5,5.0,2.248479782929625e-05,1890.0316047729507,-18.702116565940628
6.5,6.0,2.2213236395752243e-05,1937.6022534068657,-18.763737750401106
6.5,7.0,2.2185797348479646e-05,1942.5070278204462,-18.77000496124805
6.5,8.0,2.2183050571689686e-05,1942.9990286670532,-18.7706327553866
6.5,9.0,2.218277586524568e-05,1943.0482440336461,-18.770695545553792
6.5,10.0,2.218274839431325e-05,1943.053165723199,-18.7707018246781
7.0,2.0,3.748771655659358e-05,659.2263922271767,-16.0910762053295
7.0,3.0,2.632398571969605e-05,1368.1245946201936,-17.901035012652528
7.0,4.0,1.6602058392098775e-05,3508.606921707663,-20.23566264560293
7.0,5.0,1.4561606017462298e-05,4579.735590987349,-20.896111818590953
7.0,6.0,1.4329682601963442e-05,4731.405982509571,-20.976879067076084
7.0,7.0,1.4306156978542532e-05,4747.206409109228,-20.985143697646777
7.0,8.0,1.430380101536885e-05,4748.79305272508,-20.98597209309844
7.0,9.0,1.4303565384973446e-05,4748.951783374482,-20.986054952022528
7.0,10.0,1.4303541821592382e-05,4748.9676571031305,-20.986063238109068
7.5,2.0,2.2072227728255457e-05,1963.004174546931,-18.796025632991814
7.5,3.0,1.606530772355801e-05,3751.0637891560577,-20.401307562184343
7.5,4.0,1.010310014463436e-05,9599.986284581622,-22.730838498200455
7.5,5.0,8.761016854223888e-06,12801.1125314151,-23.444208988604828
7.5,6.0,8.60597885700854e-06,13270.64529714439,-23.533506949897628
7.5,7.0,8.590221249987241e-06,13319.799794194781,-23.542672048441887
7.5,8.0,8.588642893115391e-06,13324.738298128497,-23.543590986435106
7.5,9.0,8.588485031406877e-06,13325.232380154634,-23.543682904593425
7.5,10.0,8.58846924497547e-06,13325.281790675626,-23.543692096653103
8.0,2.0,1.2647286256964058e-05,6094.666576477226,-21.604530289616264
8.0,3.0,9.316648331673602e-06,11307.076329344214,-23.136562166037493
